emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Maximinus II Daia,maximinusii6,AE,Follis,310,311,Antioch,null,null,7.035g,22.6mm,12H,IMP C GAL VAL MAXIMINVS P F AVG,GENIO EX-ERCITVS,,,(crescent on altar)/∈//ANT,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 147c,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,
Constantine the Great,constantinei3,AE,Follis,310,313,Treveri,1st,null,3.88g,23.0mm,6H,CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,T/F//PTR,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys draped over left shoulder, standing left (or standing front, head left), raising right hand and holding globe in left hand",RIC VI Treveri 873,Constantine Sol Mint Set,,"Ex. Frank S. Robinson, Auction 101 Lot 410",ST6D,
Constantine the Great,constantinei55,AE,Follis,310,313,Treveri,null,null,3.91g,23.0mm,6H,IMP CONSTANTINVS AVG,SOLI INVICTO COMITI,,,-/-//-,"Bust of Constantine I, laureate, cuirassed, right","Bust of Sol, radiate, draped, right seen from behind",RIC VI Treveri 890,,,"Ex. Frank S. Robinson, Auction 107 Lot 369",,
Maxentius,maxentius1,AE,Follis,307,312,Ostia,3rd,null,5.45g,24.0mm,12H,IMP C MAXENTIUS P F AVG,AETE-RNITAS-AUGN,,,-/-//MOSTT,"Head of Maxentius, laureate, right","Castor and Pollux standing facing one another, each leaning on scepter and holding bridle of horse",RIC VI Ostia 35,,,"Ex. CNG Auction 425, Lot 550, Ex. WRG Collection, Ex. William Porter, July 1991",4YV2,
Maximinus II Daia,maximinusii4,AE,Follis,308,313,Alexandria,6th,null,6.730g,23.1mm,12H,GAL VAL MAXIMINVS NOB CAES,GENIO CA-ESARIS,,,K/(ς on P)//ALE,"Head of Maximinus Daia, laureate, right;ties divergent, with pointed truncation","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and holding cornucopiae in left hand; liquid sometimes flowing from patera",RIC VI Alexandria 99a,CNG Lot,,"Ex. CNG Electronic Auction 457, Lot 751 (part of), Ex. Forum Ancient Coins",,
Maximinus II Daia,maximinusii,AE,Follis,312,312,Alexandria,1st,null,5.00g,21.0mm,6H,IMP C GAL VAL MAXIMINVS P F AVG,GENIO - AVGVSTI,,,N/Δ//ALE,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding head of Serapis in right hand and cornucopiae in left hand",RIC VI Alexandria 157b,,,"Ex. Eng Collection, Ex. JAZ Numismatics Auction 108 Lot 6",CAG8,
Maximinus II Daia,maximinusii3,AE,Follis,312,312,Nicomedia,3rd,null,4.73g,23.1mm,6H,IMP C GAL VAL MAXIMINVS P F AVG,GENIO A-VGVSTI,,,-/Γ//SMN,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand; to left, altar",RIC VI Nicomedia 71a,,,Ex. Busso Nachf Store 2018,XD8H,
Constantine the Great,constantinei1,AE,Follis,312,313,Rome,2nd,null,3.35g,19.5mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,-/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys hanging behind, standing left, raising right hand and holding up globe in left hand",RIC VI Rome 323a,Rome Mint Sol,Clashed Dies,Ex. ValiantKnight (Jeff) 2017,KJTP,
Constantine the Great,constantinei19,AE,Follis,312,313,Rome,4th,null,3.00g,20.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,-/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys hanging behind, standing left, raising right hand and holding up globe in left hand",RIC VI Rome 323a,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,NFGA,
Constantine the Great,constantinei20,AE,Follis,312,313,Rome,2nd,null,3.14g,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,-/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys hanging behind, standing left, raising right hand and holding up globe in left hand",RIC VI Rome 323a,Rome Mint Sol,,Ex. FSR Bargain Bin 2018,DLPM,
Constantine the Great,constantinei57,AE,Follis,312,313,Rome,1st,null,4.27g,22.09mm,6H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol standing right, head left, with right hand raised, holding globe in left hand",RIC VI Rome 332,Rome Mint Sol,,Ex. Marc R. Breitsprecher 2019,,
Constantine the Great,constantinei58,AE,Follis,312,313,Rome,1st,null,4.74g,22.05mm,12H,IMP CONSTANTINVS P F AVG,S P Q R OPTIMO PRINCIPI,,,-/-//MOSTP,"Bust of Constantine I, laureate, cuirassed, right","Legionary eagle, standing left, between two vexilla; vexilla to left surmounted by right hand; vexilla to right surmounted by wreath; flag on eagle and sometimes on one vexillum",RIC VI Ostia 94,,,Ex. Marc R. Breitsprecher 2019,,
Constantine the Great,constantinei11,AE,Follis,312,313,Ticinum,1st,null,5.12g,23.0mm,6H,CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,-/-//PT,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys draped over left shoulder, standing right, head left, raising right hand and holding up globe in left hand",RIC VI Ticinum 131a,,,"Ex. Solidus Numismatik Online Auction 21, Lot 606",726L,
Constantine the Great,constantinei12,AE,Follis,312,313,Rome,2nd,null,3.90g,22.0mm,6H,IMP CONSTANTINVS P F AVG,S P Q R OPTIMO PRINCIPI,,,-/-//RS,"Bust of Constantine I, laureate, cuirassed, right","Legionary eagle, standing front or right, between two vexilla",RIC VI Rome 349a,,,Ex. Carpe Diem Numismatics 2017,5L8L,
Constantine the Great,constantinei63,AE,Follis,312,313,Rome,2nd,null,4.09g,23.0mm,12H,IMP CONSTANTINVS P F AVG,S P Q R OPTIMO PRINCIPI,,,-/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Legionary eagle, standing front or right, between two vexilla",RIC VI Rome 350a,,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 228",,
Constantine the Great,constantinei13,AE,Follis,312,313,Rome,2nd,null,3.90g,22.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RS,"Bust of Constantine I, laureate, draped, right, seen from behind","Sol, chlamys hanging behind (sometimes flying out), standing right, raising right hand and holding up globe in left hand",RIC VI Rome 335a,Rome Mint Sol,,"Ex. C. Dattari Collection, Ex. Jesús Vico Online Auction 3, Lot 342",3KVW,
Constantine the Great,constantinei39,AE,Follis,312,313,Rome,3rd,null,3.71g,23.3mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RT,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys hanging behind, standing right, raising right hand and holding up globe in left hand",RIC VI Rome 336a,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,ZKLX,
Constantine the Great,constantinei18,AE,Follis,312,313,Ostia,1st,null,4.50g,22.0mm,6H,IMP C CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//MOSTP,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys flying out, standing front, head left, raising right hand and holding up globe in left hand",RIC VI Ostia 89,Constantine Sol Mint Set,,Ex. Navi eBay 2018,FS56,
Constantine the Great,constantinei29,AE,Follis,313,313,Rome,2nd,null,3.24g,20.0mm,6H,IMP CONSTANTINVS P F AVG,MARTI CO-NSERVATORI,,,R/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Mars, helmeted, draped, cuirassed, standing right, holding reversed spear in right hand and resting left hand on shield",RIC VII Rome 6,,,Ex. eBay 2019,,
